Site,Number,MAP,ID,percPurchase,percNotPurchase,propDeadCollect,propLiveCut
Tiendega,11,1200,2,,,,
Tiendega,12,1200,1,0,100,100,
Tiendega,12,1200,2,,,,
Tiendega,13,1200,1,0,100,100,0
Tiendega,13,1200,2,,,,
Tiendega,14,1200,1,0,100,80,20
Tiendega,14,1200,2,,,,
Tiendega,15,1200,1,0,100,50,50
Tiendega,15,1200,2,,,,
Tiendega,16,1200,1,0,100,30,70
Tiendega,16,1200,2,,,,
Tiendega,17,1200,1,0,100,50,50
Tiendega,17,1200,2,,,,
Tiendega,18,1200,2,0,100,50,50
Tiendega,18,1200,2,,,,
Tiendega,19,1200,1,0,100,20,80
Tiendega,19,1200,2,,,,
Tiendega,20,1200,1,0,100,30,70
Tiendega,20,1200,2,,,,
Tiorola,1,1000,1,0,100,10,90
Tiorola,1,1000,2,,,,
Tiorola,2,1000,1,0,100,30,70
Tiorola,2,1000,2,,,,
Tiorola,2,1000,3,,,,
Tiorola,3,1000,1,0,100,20,80
Tiorola,4,1000,1,0,100,20,80
Tiorola,4,1000,2,,,,
Tiorola,4,1000,3,,,,
Tiorola,5,1000,1,0,100,20,80
Tiorola,6,1000,1,0,100,20,80
Tiorola,6,1000,2,,,,
Tiorola,7,1000,1,0,100,50,50
Tiorola,7,1000,2,,,,
Tiorola,7,1000,3,,,,
Tiorola,8,1000,1,0,95,20,80
Tiorola,8,1000,2,,,,
Tiorola,9,1000,1,0,100,60,40
Tiorola,9,1000,2,,,,
Tiorola,10,1000,1,0,100,20,80
